0,1,2
0,2,3
3,2,4
3,4,5
5,4,6
5,6,7
7,6,8
7,8,9
9,8,10
9,10,11
11,10,12
11,12,13
13,12,14
13,14,15
16,1,0
17,2,1
2,17,18
2,18,4
4,18,19
4,19,6
6,19,20
6,20,8
8,20,21
8,21,10
10,21,22
10,22,12
12,22,23
12,23,14
24,25,26
24,26,27
24,27,28
28,27,29
28,29,30
30,29,31
30,31,25
25,31,26
26,31,32
26,32,33
26,33,27
27,33,34
27,34,29
29,34,35
29,35,31
31,35,32
32,35,36
32,36,37
32,37,33
33,37,38
33,38,39
33,39,34
34,39,40
34,40,41
34,41,36
34,36,35
40,42,41
41,42,43
41,43,38
41,38,44
41,44,45
41,45,36
36,45,46
36,46,37
37,46,47
37,47,38
38,47,44
44,47,48
44,48,49
38,44,49
45,49,50
45,50,46
46,50,51
46,51,47
47,51,48
48,51,49
49,51,50
39,43,52
39,52,53
39,53,40
40,53,54
40,54,42
42,54,55
42,55,43
43,55,52
52,55,56
52,56,57
52,57,53
53,57,58
53,58,54
54,58,59
54,59,55
55,59,60
55,60,61
55,61,56
56,61,62
56,62,57
57,62,60
57,60,63
57,63,64
57,64,58
58,64,65
58,65,59
59,65,66
59,66,60
60,66,63
63,66,64
64,66,65
38,43,39
62,61,60
62,16,56
67,68,69
67,69,70
67,70,71
67,71,72
67,72,73
67,73,68
69,68,74
75,76,77
77,76,78
77,78,79
80,76,75
76,80,81
76,81,82
76,82,78
83,81,84
83,84,85
83,85,86
83,86,87
83,87,88
83,88,81
81,88,82
89,71,70
71,89,86
71,86,90
71,90,72
80,84,81
85,90,86
89,87,86
41,49,38
50,41,49
41,50,45
